frame_number,person_center_x,person_center_y,person_velocity,person_intersection_percentage,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection_percentage,violation
241.0,964.4546,628.8182,7.5018,0.06489,841.3929,639.6429,12.4383,0.12621,1
242.0,966.5106,628.8511,2.05635,0.08752,848.8637,642.0,7.83379,0.41861,1
243.0,965.413,629.8043,1.45375,0.04574,864.7242,650.37933,17.93789,0.48843,1
244.0,968.775,636.75,7.71657,0.09154,869.4,654.4,6.16685,1.3931,0
550.0,667.6,639.06665,1.84066,0.84406,843.06976,624.8372,6.30225,0.47276,0
551.0,671.717,639.84906,4.19069,0.7025,821.4324,641.5135,27.31798,0.74099,0
552.0,677.9032,619.8387,20.9448,0.59327,854.16,642.36,32.73848,1.39483,0
553.0,692.0454,623.4545,14.5972,0.63839,871.03125,655.21875,21.21292,1.82494,0
554.0,690.75,614.55,8.99828,0.26528,868.8,638.76,16.6093,2.88049,0
555.0,698.6591,627.2045,14.92285,0.34901,873.76746,627.97675,11.87243,3.10699,0
556.0,700.5,639.0714,12.00882,0.44969,871.2632,641.8421,14.08969,5.62627,0
557.0,705.78,633.84,7.43277,0.46595,881.7,650.1,13.30864,7.08185,0
558.0,713.8033,638.21313,9.13765,0.33851,894.0,648.8571,12.36262,8.26109,0
559.0,715.01697,634.01697,4.36816,0.49989,918.5806,665.5161,29.69393,10.46978,0
560.0,722.9524,629.4762,9.14273,0.49461,922.35297,653.4706,12.62242,11.93797,0
561.0,723.83075,637.61536,8.18642,0.33252,927.4773,677.1818,24.25864,12.62177,0
562.0,726.4546,629.9545,8.09768,0.28882,920.46,657.06,21.31032,13.84414,0
563.0,729.18,634.5,5.29995,0.19073,941.1579,667.6842,23.26534,15.36723,0
564.0,738.225,623.25,14.43517,0.26045,929.58826,667.8823,11.57134,17.03202,0
565.0,744.8461,625.61536,7.03097,0.2516,956.11115,689.7222,34.35756,17.21854,0
566.0,747.25714,629.0571,4.20223,0.26528,953.55,693.7,4.73096,18.00634,0
567.0,750.55817,624.55817,5.58009,0.44236,973.52386,684.7619,21.88248,17.17249,0
568.0,764.1429,614.3571,16.98841,0.19542,987.7013,696.8182,18.61062,16.0177,0
569.0,762.4286,625.2857,11.06223,0.65242,980.42114,703.8421,10.11618,16.55692,0
570.0,769.09753,628.53656,7.41909,0.65538,1002.5373,702.0448,22.18912,15.29082,0
571.0,771.6923,629.25,2.69108,0.74787,1004.6053,711.7105,9.88446,14.73675,0
572.0,775.78845,641.0769,12.51615,1.02144,1020.0732,712.5732,15.49193,13.37429,0
573.0,775.3018,641.26416,0.52136,1.06909,1031.1094,729.7031,20.37726,12.04071,0
574.0,781.2,644.4,6.67994,1.21359,1032.3077,727.3077,2.67848,11.02063,0
575.0,778.9412,649.64703,5.71258,1.28589,1045.931,733.75867,15.07344,9.78104,0
576.0,793.3954,632.093,22.73909,0.94304,1064.0,733.76666,18.06897,8.33112,0
577.0,789.9782,640.3043,8.89392,0.95679,1069.0786,746.39325,13.60967,7.137,0
578.0,801.0625,631.625,14.07802,0.69391,1076.7667,756.1,12.38255,5.89831,0
579.0,805.9737,638.8421,8.72963,0.77531,1099.4269,771.36584,27.32269,4.89925,0
580.0,805.2222,634.7778,4.13322,0.59266,1121.2959,769.59186,21.94085,3.88594,0
581.0,813.7058,619.2353,17.70709,0.44443,1134.0625,778.0625,15.32116,2.90885,0
582.0,822.9091,619.5455,9.20847,0.50603,1153.62,780.27,19.68169,2.11402,0
583.0,822.87506,628.125,8.5796,1.00144,1161.2307,786.989,10.15224,1.45325,0
584.0,824.25,626.7,1.98021,1.02718,1197.2621,806.5922,41.01884,0.81885,0
585.0,827.5227,625.2273,3.5888,1.43234,1205.8823,814.9412,12.00055,0.4091,0
586.0,838.7143,633.6857,14.02843,0.78532,1230.934,806.46234,26.44761,0.15656,0
587.0,840.4,626.2,7.67318,0.79699,1246.909,837.99176,35.34561,0.01785,0
617.0,946.62,634.08,12.2633,0.92682,683.74286,647.65717,30.70864,0.05807,0
618.0,948.83325,637.55554,4.12044,1.02355,684.75,645.5833,2.30547,0.14356,0
619.0,955.11426,635.3143,6.66885,0.86873,683.12195,640.7561,5.09436,0.30646,0
620.0,962.0816,634.53064,7.01128,0.94082,671.72095,638.3023,11.66207,0.73966,0
621.0,962.7895,637.3158,2.87371,1.16928,691.62494,646.25,21.43215,0.88391,0
622.0,961.73334,638.8,1.82162,1.53637,686.1137,642.61365,6.60288,1.79156,0
623.0,963.0,627.5455,11.32557,1.1336,687.5218,645.9783,3.64738,2.51428,0
624.0,979.11115,623.55554,16.59779,0.87131,692.1429,643.2857,5.34836,2.80189,0
625.0,977.069,618.0,5.91898,1.10632,694.38464,652.2308,9.2217,3.45002,0
626.0,982.7143,639.0,21.74557,0.51114,709.13513,663.97296,18.85354,5.18142,0
627.0,982.8461,639.2308,0.26578,0.5101,700.9459,653.1081,13.60546,6.5316,0
628.0,986.5,632.5,7.6586,1.17232,689.0,662.0909,14.94642,7.5517,0
629.0,991.88885,625.0,9.23528,1.2823,694.186,657.48834,6.93385,8.4868,0
630.0,990.5806,630.871,6.01498,1.04472,713.175,657.225,18.99078,10.32319,0
631.0,993.0,632.1081,2.71732,1.54743,696.75,659.1875,16.54182,11.83961,0
632.0,997.5,648.375,16.87786,1.31889,711.8571,665.32654,16.30683,12.52059,0
633.0,998.8,633.93335,14.50004,1.20757,709.6429,670.9286,6.02377,12.86602,0
634.0,994.08,645.0,12.03116,1.02696,729.41174,670.1177,19.78548,15.4757,0
635.0,990.28125,649.125,5.6077,1.11059,716.04,670.74,13.38624,18.01929,0
636.0,993.7,647.2,3.92346,1.47457,709.1539,679.53845,11.1728,18.87571,0
637.0,1008.09375,644.71875,14.60604,0.68517,718.7058,677.9412,9.68463,20.34437,0
638.0,1008.75,635.71875,9.02389,1.01041,733.2,667.73334,17.72794,20.24641,0
639.0,1008.1818,637.8182,2.17495,0.91647,731.1,678.9,11.36244,19.85103,0
640.0,1018.4,630.0,12.86606,0.84594,737.53845,685.96155,9.5561,20.84313,0
641.0,1024.8462,619.38464,12.41929,0.90047,737.4643,693.6964,7.73522,21.89538,0
642.0,1030.8,625.65,8.64311,0.12164,740.0182,694.74554,2.76096,21.89146,0
643.0,1031.4706,630.8823,5.27509,0.31587,772.74426,694.46515,32.72722,21.57618,0
644.0,1034.75,626.25,5.67565,0.33062,753.4737,690.1053,19.75754,21.45502,0
645.0,1036.3846,630.0769,4.1614,0.3633,760.322,699.71185,11.7977,21.77573,0
646.0,1038.4412,624.8823,5.58685,0.34325,743.1702,704.5532,17.82196,21.92306,0
647.0,1041.5385,629.7692,5.78576,0.34035,767.4406,717.61017,27.55975,22.79289,0
648.0,1040.8286,630.6,1.09271,0.33714,775.98206,724.98206,11.28281,21.38765,0
649.0,1038.9375,640.40625,9.98696,0.33909,765.7959,708.0612,19.75034,21.43322,0
650.0,1042.7693,637.61536,4.74043,0.34043,777.96765,709.35486,12.24037,21.19074,0
853.0,941.1923,652.96155,9.58786,2.61254,692.62494,648.0,5.20086,0.02753,1
854.0,928.6071,644.25,15.30616,2.02295,692.12494,649.875,1.94052,0.10924,1
855.0,921.2143,655.7143,13.64126,1.46476,703.2,648.6,11.14816,0.11084,1
856.0,921.0,625.2,30.51503,2.0552,703.83325,646.1667,2.51435,0.28747,1
857.0,916.9286,653.1429,28.23792,1.92993,706.0,641.0,5.60261,0.29398,1
858.0,918.1304,643.3043,9.9117,1.04588,716.2105,648.3158,12.56087,0.68309,1
859.0,904.59576,644.04254,13.55479,2.36872,708.9474,653.2105,8.75849,0.77622,1
860.0,908.6512,656.23254,12.84689,2.0385,713.7143,652.2857,4.85579,1.28099,1
861.0,895.619,646.3333,16.36558,3.06539,715.5,651.5769,1.92123,1.59537,1
862.0,893.38776,657.551,11.43747,3.06798,723.16675,662.5,13.34512,1.54408,1
863.0,889.21875,645.84375,12.42743,2.28434,718.2692,661.5,4.99851,2.13145,1
864.0,885.72974,653.1081,8.05878,2.18564,731.0769,665.53845,13.42929,2.73497,1
865.0,876.1875,651.5,9.67679,2.33973,731.66675,651.1667,14.38386,3.37878,1
866.0,873.33325,651.5238,2.85429,3.21617,735.5454,660.4091,10.02335,3.2562,1
867.0,870.38715,646.35486,5.94964,2.11779,735.9474,672.6316,12.22908,4.07824,1
868.0,869.7692,640.5,5.88737,2.21281,733.3449,681.3104,9.06059,4.86047,1
869.0,863.1429,636.4286,7.7772,2.01329,741.4737,683.0526,8.31346,5.02535,1
870.0,858.5769,625.8461,11.52548,2.38338,743.4286,681.4286,2.54147,5.77431,1
871.0,847.24133,648.31036,25.16218,2.71522,744.1363,692.4546,11.04863,6.44345,1
872.0,848.73914,641.86957,6.61265,1.56184,747.4286,683.3571,9.6748,7.01924,1
2034.0,1030.9714,613.7143,5.33967,0.06515,903.51227,647.2683,15.56534,2.2253,0
2035.0,1031.8286,622.3714,8.69944,0.0662,903.4666,636.93335,10.33506,2.18333,0
2036.0,1027.7587,624.31036,4.50822,0.06654,909.1304,632.0217,7.49681,2.74248,0
2037.0,1028.7097,626.9032,2.76175,0.06671,917.4894,634.65955,8.76528,3.48386,0
2038.0,1012.0714,606.4286,26.38262,0.10199,916.0714,636.5357,2.35173,3.38872,0
2039.0,1012.2857,620.1429,13.71597,0.06622,923.48566,627.4286,11.74357,3.07176,0
2040.0,1008.0,623.5,5.44403,0.10343,924.18,641.52,14.10852,2.83182,0
2041.0,1005.1363,622.0909,3.19157,0.16782,915.93335,636.26666,9.77778,2.08104,0
2042.0,1004.2222,625.6667,3.6908,0.0648,923.0,644.0714,10.52861,5.50378,0
2043.0,1003.88574,616.02856,9.64399,0.06579,916.65955,653.29785,11.19502,7.52709,0
2044.0,999.8108,621.56757,6.87646,0.06743,934.8823,654.1177,18.24121,7.23605,1
2072.0,856.25446,625.85455,4.72917,0.04449,1012.5417,694.9583,19.94254,14.70784,1
2073.0,854.34546,631.41815,5.88202,0.04568,723.9782,653.413,13.93732,15.13162,1
2074.0,847.9385,625.33844,8.83246,0.05243,710.2909,662.8909,16.64857,15.31669,1
2077.0,836.33325,615.7778,5.65671,0.12082,712.55,668.8,17.57759,16.94628,1
2079.0,829.5,616.8333,12.17622,0.3661,732.51434,672.3428,4.1317,17.39413,1
2080.0,825.0,623.4,7.96063,0.30095,728.64703,671.7353,3.91468,17.45582,1
2081.0,819.5806,615.29034,9.75379,0.12584,747.9429,674.0571,19.43503,17.15795,1
2104.0,691.3125,627.75,45.62446,1.20824,855.731,801.35297,19.56102,12.34731,0
2105.0,690.48645,617.8378,9.94653,1.28954,845.8378,811.7027,14.31759,12.21287,0
2106.0,691.75,636.25,18.45547,1.82774,864.6053,827.18427,24.32888,11.84009,0
2107.0,685.5,629.1,9.4966,2.51795,864.287,824.4261,2.77643,11.35552,0
2108.0,673.8,644.73334,19.52671,2.26337,863.7068,831.2932,6.89159,10.87173,0
2109.0,667.7442,650.5814,8.41859,2.23495,885.9782,832.6304,22.31159,10.28958,0
2110.0,661.0161,646.0161,8.13076,2.40379,895.44,845.904,16.30067,9.92232,0
2111.0,659.09436,648.90564,3.47023,1.88996,888.9318,837.9773,10.25616,9.44628,0
2112.0,659.1923,650.1923,1.29041,2.07404,918.45654,885.0653,55.57863,9.04421,0
2113.0,657.7174,657.587,7.54031,1.8173,937.2292,864.2292,28.04556,8.48249,0
2114.0,650.9077,640.0615,18.80195,1.79115,922.093,828.72095,38.59972,7.93284,0
2115.0,654.5455,656.4545,16.79178,1.78311,957.4,847.75,40.10847,7.79755,0
2116.0,648.6,648.675,9.79133,1.5622,953.9048,843.8095,5.26727,7.41485,0
2117.0,641.6786,655.3929,9.6455,1.74623,971.9744,837.7179,19.06874,7.11563,0
2118.0,636.75,641.875,14.38833,1.60575,976.0227,837.9773,4.05664,6.66695,0
2119.0,629.6129,644.0323,7.456,1.68174,984.85986,857.36945,21.31082,6.09198,0
2120.0,616.1539,633.6923,16.97235,2.16099,1017.30255,859.10925,32.4893,4.41784,0
2121.0,609.7659,640.40424,9.26583,3.16916,1050.9916,849.68646,34.98199,3.88194,0
2122.0,604.86206,647.89655,8.95448,2.63841,1069.1831,877.85913,33.53552,2.40462,0
2123.0,601.8197,647.0164,3.16711,2.72426,1122.875,879.35,53.71259,0.93937,0
2124.0,601.6981,653.6604,6.64509,2.15858,1097.0698,875.6279,26.07222,0.62196,0
2265.0,549.2941,653.2353,35.09782,0.05155,955.4628,691.3637,25.13509,9.97782,0
2266.0,549.0,647.42554,5.81719,0.00745,961.937,704.7402,14.8609,9.55895,0
2267.0,548.0,655.75,8.38431,0.05231,953.93286,698.1492,10.36856,9.17301,0
2268.0,552.225,648.075,8.76104,0.05931,965.4889,700.8,11.85615,8.84398,0
2269.0,545.61536,664.6923,17.88357,0.05907,971.6308,705.46155,7.71059,8.58351,0
2270.0,546.3077,662.61536,2.18931,0.0591,968.904,713.064,8.0767,8.27527,0
2271.0,545.2222,652.3333,10.33918,0.05232,984.3986,714.3357,15.54672,7.90092,0
2273.0,546.4375,652.0,29.62494,0.05919,986.6304,714.4782,9.21475,7.22212,0
2274.0,546.6,656.93335,4.93602,0.0588,1000.54614,722.9308,16.28165,7.00153,0
2275.0,546.4039,653.88464,3.05501,0.05191,1017.09937,718.3113,17.18572,6.72656,0
2276.0,548.05884,653.17645,1.80013,0.05928,1008.36426,731.2071,15.5758,6.41432,0
2277.0,548.8605,648.27905,4.96257,0.05891,1021.0279,723.77625,14.6829,6.04131,0
2278.0,552.65625,649.6875,4.04866,0.05886,1027.3936,729.5613,8.6016,5.76781,0
2279.0,548.67566,648.8919,4.05932,0.05834,1040.0364,736.1818,14.27139,5.54931,0
2280.0,554.55884,650.1177,6.00952,0.065,1047.4286,729.4675,9.98632,5.21544,0
2285.0,552.9091,659.0,51.17947,0.59416,1051.797,752.74115,19.72634,4.08855,0
2286.0,551.5714,654.2143,4.96915,0.92802,1105.2747,780.7305,60.35953,3.84138,0
2287.0,553.14703,653.3823,1.78179,1.36211,1096.6906,773.98334,10.9184,3.61758,0
2288.0,561.0,645.8077,10.91074,2.46592,1101.3247,779.5361,7.2324,3.43191,0
2289.0,561.84906,662.8868,17.10019,2.12939,1108.9902,778.2878,7.7665,3.25691,1
2290.0,564.3261,677.73914,15.0575,3.61974,1150.3315,779.0374,41.34811,3.00029,1
2291.0,561.75,672.525,5.81578,3.24107,1139.0853,763.0793,19.52279,2.90128,1
2292.0,566.1,682.4,10.79064,3.41983,1147.2754,745.27545,19.59729,2.75898,1
2293.0,557.6667,673.16675,12.505,3.04616,1160.0393,738.92694,14.25557,2.65529,1
2294.0,563.6,664.5,10.50311,2.38908,1167.5714,735.0536,8.46968,2.45381,1
2295.0,567.13336,661.6667,4.52907,2.49123,1204.5,732.6188,37.00877,2.35974,1
2296.0,568.93335,671.26666,9.76727,2.74586,1191.568,719.6805,18.29307,2.26379,1
2297.0,569.8393,676.6071,5.41675,3.22049,1278.362,713.7758,86.99468,2.07789,1
2298.0,567.87805,684.9512,8.57151,3.72238,1249.0,741.36206,40.28806,1.9846,1
2299.0,569.2105,674.6053,10.4314,3.6945,1288.7191,725.2584,42.85948,1.90138,1
2300.0,573.7105,671.5263,5.45253,3.3886,1342.0829,713.75146,54.59031,1.7206,1
2301.0,581.44183,664.1163,10.70897,2.92495,1119.824,753.5704,225.79764,1.64889,1
2302.0,584.07275,650.94543,13.43104,3.54023,1137.1013,779.8581,31.45708,1.56379,1
2303.0,593.4828,638.5862,15.53383,1.86524,1158.9778,735.33325,49.60882,1.56422,1
2304.0,591.5714,662.8571,24.34608,1.92205,1146.8478,767.32605,34.21514,1.56264,1
2305.0,594.5,667.75,5.70236,2.22779,1149.5435,770.32605,4.0332,1.55976,1
2306.0,600.2857,661.0,8.89027,3.17942,1132.1471,724.85297,48.68717,1.47469,1
2307.0,603.6,667.2,7.03026,2.61362,1196.625,689.4375,73.56396,1.47753,1
2308.0,607.32,655.08,12.67805,2.20351,1171.321,707.66974,31.18822,1.39019,1
2309.0,604.5714,649.7143,6.02874,1.99906,1217.6418,772.92535,80.02444,1.3906,1
