frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
241.0,964.4545,628.8182,7.5018053,38,841.3929,639.6429,12.438298,43
242.0,966.5106,628.8511,2.0563545,48,848.86365,642.0,7.833793,130
243.0,965.413,629.8043,1.4537522,36,864.7241,650.37933,17.93789,153
244.0,968.775,636.75,7.7165728,54,869.4,654.4,6.166849,400
550.0,667.6,639.06665,1.8406644,248,843.06976,624.8372,6.302247,232
551.0,671.717,639.84906,4.190691,213,821.43243,641.5135,27.31798,349
552.0,677.9032,619.8387,20.944796,189,854.16,642.36,32.738483,574
553.0,692.0455,623.4545,14.5971985,187,871.03125,655.21875,21.212915,736
554.0,690.75,614.55,8.998282,112,868.8,638.76,16.609295,1159
555.0,698.6591,627.2045,14.922853,141,873.76746,627.97675,11.872427,1302
556.0,700.5,639.0714,12.008819,174,871.2632,641.8421,14.089694,2186
557.0,705.78,633.84,7.4327717,180,881.7,650.1,13.308639,2744
558.0,713.8033,638.21313,9.137652,131,894.0,648.8571,12.362621,3065
559.0,715.01697,634.01697,4.3681626,191,918.5806,665.5161,29.69393,3790
560.0,722.9524,629.4762,9.142734,194,922.35297,653.4706,12.6224165,4292
561.0,723.83075,637.61536,8.186418,136,927.4773,677.1818,24.258642,4619
562.0,726.4545,629.9545,8.097685,123,920.46,657.06,21.310326,5109
563.0,729.18,634.5,5.299949,75,941.1579,667.6842,23.265335,5621
564.0,738.225,623.25,14.435172,97,929.58826,667.8823,11.571337,6345
565.0,744.8461,625.61536,7.0309744,91,956.1111,689.7222,34.35756,6298
566.0,747.25714,629.0571,4.2022343,97,953.55,693.7,4.730959,6815
567.0,750.55817,624.55817,5.5800924,151,973.5238,684.7619,21.882484,6573
568.0,764.1429,614.3571,16.988407,76,987.7013,696.8182,18.610615,6355
569.0,762.4286,625.2857,11.062226,225,980.4211,703.8421,10.116177,6632
570.0,769.09753,628.53656,7.4190893,223,1002.5373,702.0448,22.189121,6338
571.0,771.6923,629.25,2.6910813,250,1004.6053,711.7105,9.88446,6440
572.0,775.78845,641.0769,12.516148,317,1020.0732,712.5732,15.491934,6120
573.0,775.3019,641.26416,0.52136105,329,1031.1094,729.7031,20.377256,5635
574.0,781.2,644.4,6.6799407,383,1032.3077,727.3077,2.6784775,5410
575.0,778.94116,649.64703,5.712575,407,1045.931,733.7586,15.073438,5041
576.0,793.3953,632.093,22.739092,299,1064.0,733.76666,18.068972,4490
577.0,789.9783,640.3043,8.893917,309,1069.0786,746.39325,13.609666,4012
578.0,801.0625,631.625,14.078023,213,1076.7667,756.1,12.382551,3486
579.0,805.9737,638.8421,8.729628,234,1099.4269,771.36584,27.322691,3016
580.0,805.2222,634.7778,4.1332173,183,1121.2959,769.59186,21.940853,2509
581.0,813.7059,619.2353,17.707087,135,1134.0625,778.0625,15.321158,2020
582.0,822.9091,619.5455,9.208473,153,1153.62,780.27,19.681686,1555
583.0,822.875,628.125,8.5795965,303,1161.2307,786.989,10.152236,1166
584.0,824.25,626.7,1.9802059,324,1197.2621,806.5922,41.018845,730
585.0,827.5227,625.2273,3.5888014,458,1205.8823,814.94116,12.000554,440
586.0,838.7143,633.6857,14.028428,248,1230.934,806.4623,26.447607,210
587.0,840.4,626.2,7.6731777,245,1246.909,837.99176,35.345608,62
616.0,944.63635,646.1818,11.970954,316,654.31036,638.89655,8.843031,14
617.0,946.62,634.08,12.263302,272,683.74286,647.65717,30.708635,65
618.0,948.8333,637.55554,4.120443,304,684.75,645.5833,2.3054712,122
619.0,955.11426,635.3143,6.6688504,255,683.12195,640.7561,5.09436,201
620.0,962.0816,634.53064,7.011276,279,671.72095,638.3023,11.662072,405
621.0,962.7895,637.3158,2.873708,352,691.625,646.25,21.432152,438
622.0,961.73334,638.8,1.8216156,464,686.11365,642.61365,6.6028833,842
623.0,963.0,627.5455,11.325572,333,687.5217,645.9783,3.6473808,1120
624.0,979.1111,623.55554,16.597788,248,692.1429,643.2857,5.348363,1204
625.0,977.069,618.0,5.9189763,314,694.38464,652.2308,9.2217,1439
626.0,982.7143,639.0,21.745567,138,709.13513,663.97296,18.853537,2026
627.0,982.8461,639.2308,0.2657768,138,700.9459,653.1081,13.605458,2530
628.0,986.5,632.5,7.6585956,318,689.0,662.0909,14.946424,2899
629.0,991.8889,625.0,9.235281,365,694.18604,657.48834,6.9338536,3232
630.0,990.5806,630.871,6.014975,295,713.175,657.225,18.99078,3903
631.0,993.0,632.1081,2.717321,435,696.75,659.1875,16.541817,4448
632.0,997.5,648.375,16.877863,357,711.8571,665.32654,16.306833,4583
633.0,998.8,633.93335,14.500043,327,709.6429,670.9286,6.02377,4751
634.0,994.08,645.0,12.031162,275,729.41174,670.1177,19.785484,5528
635.0,990.28125,649.125,5.607696,299,716.04,670.74,13.386238,6396
636.0,993.7,647.2,3.9234567,398,709.1539,679.53845,11.172798,6738
637.0,1008.09375,644.71875,14.606038,183,718.7059,677.94116,9.684631,7299
638.0,1008.75,635.71875,9.023894,273,733.2,667.73334,17.727938,7214
639.0,1008.1818,637.8182,2.1749518,242,731.1,678.9,11.362441,7271
640.0,1018.4,630.0,12.86606,212,737.53845,685.96155,9.556103,7671
641.0,1024.8462,619.38464,12.419294,227,737.4643,693.6964,7.735219,7878
642.0,1030.8,625.65,8.643114,29,740.0182,694.7455,2.7609649,8058
643.0,1031.4706,630.8823,5.27509,79,772.7442,694.4651,32.727215,7936
644.0,1034.75,626.25,5.675651,91,753.4737,690.1053,19.75754,8027
645.0,1036.3846,630.0769,4.161401,95,760.322,699.71185,11.7977,8355
646.0,1038.4412,624.8823,5.5868535,88,743.1702,704.55316,17.821962,8637
647.0,1041.5385,629.7692,5.7857594,88,767.4407,717.61017,27.559753,8772
648.0,1040.8286,630.6,1.0927104,88,775.9821,724.9821,11.282813,8337
649.0,1038.9375,640.40625,9.986958,88,765.7959,708.0612,19.750338,8550
650.0,1042.7693,637.61536,4.7404304,88,777.9677,709.35486,12.240366,8625
655.0,1049.25,640.5,23.964073,4,786.1948,713.8442,10.500289,8951
816.0,1066.0769,627.0769,1.2370899,1,811.61536,782.53845,11.95848,362
853.0,941.1923,652.96155,9.587862,682,692.625,648.0,5.2008586,27
854.0,928.6071,644.25,15.306157,538,692.125,649.875,1.9405218,51
855.0,921.2143,655.7143,13.641256,386,703.2,648.6,11.148165,54
856.0,921.0,625.2,30.515034,539,703.8333,646.1667,2.5143514,112
857.0,916.9286,653.1429,28.237925,542,706.0,641.0,5.6026053,109
858.0,918.13043,643.3043,9.911696,290,716.2105,648.3158,12.560867,214
859.0,904.59576,644.04254,13.554786,638,708.9474,653.2105,8.7584915,244
860.0,908.6512,656.23254,12.84689,565,713.7143,652.2857,4.8557863,382
861.0,895.619,646.3333,16.365578,820,715.5,651.5769,1.9212348,463
862.0,893.38776,657.551,11.437466,861,723.1667,662.5,13.345116,448
863.0,889.21875,645.84375,12.427426,639,718.2692,661.5,4.9985123,607
864.0,885.72974,653.1081,8.058778,609,731.0769,665.53845,13.429286,742
865.0,876.1875,651.5,9.676788,637,731.6667,651.1667,14.383862,907
866.0,873.3333,651.5238,2.8542862,900,735.5455,660.4091,10.023349,887
867.0,870.3871,646.35486,5.949643,588,735.9474,672.6316,12.229079,1105
868.0,869.7692,640.5,5.887369,585,733.34485,681.31036,9.06059,1282
869.0,863.1429,636.4286,7.777198,520,741.4737,683.0526,8.313457,1315
870.0,858.5769,625.8461,11.5254755,644,743.4286,681.4286,2.5414693,1521
871.0,847.2414,648.31036,25.162186,741,744.13635,692.4545,11.048633,1691
872.0,848.73914,641.86957,6.6126456,433,747.4286,683.3571,9.674799,1821
2033.0,1030.2142,619.0,5.2320395,1,889.0851,641.42554,12.289823,773
2034.0,1030.9714,613.7143,5.3396664,19,903.5122,647.2683,15.565343,901
2035.0,1031.8286,622.3714,8.699437,19,903.4667,636.93335,10.335061,901
2036.0,1027.7587,624.31036,4.5082197,19,909.13043,632.0217,7.496811,1112
2037.0,1028.7097,626.9032,2.7617543,19,917.4894,634.65955,8.765278,1417
2038.0,1012.0714,606.4286,26.382624,34,916.0714,636.5357,2.351725,1390
2039.0,1012.2857,620.1429,13.715969,22,923.4857,627.4286,11.743573,1234
2040.0,1008.0,623.5,5.4440336,34,924.18,641.52,14.108524,1149
2041.0,1005.13635,622.0909,3.1915658,58,915.93335,636.26666,9.777775,864
2042.0,1004.2222,625.6667,3.6908004,22,923.0,644.0714,10.528611,2161
2043.0,1003.88574,616.02856,9.643994,22,916.65955,653.29785,11.1950245,2887
2044.0,999.8108,621.56757,6.876465,25,934.8823,654.1177,18.24121,2683
2065.0,899.4,612.0,4.1785393,6,1004.32837,664.2537,21.640358,5870
2072.0,856.2545,625.85455,4.7291737,16,720.0,640.05554,16.303572,6517
2073.0,854.34546,631.41815,5.8820176,16,723.9783,653.413,13.937324,6801
2074.0,847.9385,625.33844,8.8324585,34,710.2909,662.8909,16.648573,6910
2075.0,840.75,629.1875,8.154107,10,737.1964,669.9107,27.806189,7447
2076.0,835.0645,621.29034,9.730869,13,728.15,676.9,11.431871,7751
2077.0,836.3333,615.7778,5.6567054,52,712.55,668.8,17.577593,7853
2078.0,831.5217,604.8261,11.962032,13,729.83606,669.1967,17.290625,8117
2079.0,829.5,616.8333,12.176218,121,732.5143,672.34283,4.131699,8397
2080.0,825.0,623.4,7.960634,97,728.64703,671.7353,3.91468,8553
2081.0,819.5806,615.29034,9.753795,52,747.9429,674.0571,19.435026,8406
2104.0,691.3125,627.75,45.62446,357,855.7311,801.35297,19.561022,11704
2105.0,690.4865,617.8378,9.946526,384,845.8378,811.7027,14.317588,11906
2106.0,691.75,636.25,18.455471,535,864.6053,827.1842,24.32888,12069
2107.0,685.5,629.1,9.496596,739,864.2869,824.4261,2.7764304,12292
2108.0,673.8,644.73334,19.526707,686,863.7068,831.2932,6.891588,12439
2109.0,667.7442,650.5814,8.418589,667,885.9783,832.63043,22.311592,12279
2110.0,661.0161,646.0161,8.130757,713,895.44,845.904,16.300667,12438
2111.0,659.09436,648.90564,3.47023,559,888.9318,837.9773,10.256165,12516
2112.0,659.1923,650.1923,1.2904059,615,918.45654,885.06525,55.57863,12354
2113.0,657.7174,657.587,7.5403094,558,937.2292,864.2292,28.045563,12316
2114.0,650.9077,640.0615,18.80195,542,922.093,828.72095,38.599724,12039
2115.0,654.5455,656.4545,16.79178,552,957.4,847.75,40.10847,11795
2116.0,648.6,648.675,9.791332,481,953.9048,843.8095,5.267273,11561
2117.0,641.6786,655.3929,9.645502,508,971.97437,837.71796,19.068737,11328
2118.0,636.75,641.875,14.388334,451,976.0227,837.9773,4.0566382,10875
2119.0,629.6129,644.0323,7.4559956,469,984.85986,857.36945,21.310816,9924
2120.0,616.1539,633.6923,16.972353,628,1017.30255,859.10925,32.489304,7260
2121.0,609.7659,640.40424,9.265827,933,1050.9916,849.68646,34.981987,6455
2122.0,604.86206,647.89655,8.954476,782,1069.1831,877.85913,33.535515,4043
2123.0,601.8197,647.0164,3.167107,794,1122.875,879.35,53.71259,1503
2124.0,601.6981,653.6604,6.645094,625,1097.0698,875.6279,26.072222,964
2265.0,549.2941,653.2353,35.097816,43,955.4628,691.36365,25.13509,14056
2266.0,549.0,647.42554,5.817194,26,961.937,704.7402,14.860905,14057
2267.0,548.0,655.75,8.384312,43,953.93286,698.14923,10.368555,13922
2268.0,552.225,648.075,8.761043,48,965.4889,700.8,11.856153,13786
2269.0,545.61536,664.6923,17.88357,48,971.6308,705.46155,7.7105875,13723
2270.0,546.3077,662.61536,2.1893137,48,968.904,713.064,8.076704,13651
2271.0,545.2222,652.3333,10.339179,43,984.3986,714.3357,15.546725,13578
2273.0,546.4375,652.0,29.624935,48,986.63043,714.4783,9.214749,13381
2274.0,546.6,656.93335,4.936024,48,1000.54614,722.9308,16.281647,13345
2275.0,546.4039,653.88464,3.055007,43,1017.09937,718.3113,17.185722,13300
2276.0,548.05884,653.17645,1.8001262,48,1008.36426,731.20715,15.575805,13191
2277.0,548.8605,648.27905,4.9625745,48,1021.02795,723.77625,14.682901,13104
2278.0,552.65625,649.6875,4.0486593,49,1027.3936,729.5613,8.601598,13041
2279.0,548.67566,648.8919,4.059319,49,1040.0364,736.1818,14.27139,12936
2280.0,554.55884,650.1177,6.0095177,55,1047.4286,729.4675,9.986318,12747
2285.0,552.9091,659.0,51.17947,211,1051.797,752.7411,19.726341,12627
2286.0,551.5714,654.2143,4.9691486,301,1105.2747,780.7306,60.359528,12330
2287.0,553.14703,653.3823,1.7817858,420,1096.6906,773.9834,10.918402,12339
2288.0,561.0,645.8077,10.910745,645,1101.3247,779.5361,7.232398,12354
2289.0,561.84906,662.8868,17.100193,619,1108.9902,778.2878,7.7665014,12339
2290.0,564.3261,677.73914,15.057499,1050,1150.3315,779.0374,41.348106,11862
2291.0,561.75,672.525,5.8157806,954,1139.0853,763.0793,19.522789,11871
2292.0,566.1,682.4,10.79064,1014,1147.2754,745.27545,19.597286,11862
2293.0,557.6667,673.1667,12.504994,927,1160.0393,738.92694,14.255566,11862
2294.0,563.6,664.5,10.503113,737,1167.5714,735.0536,8.469678,11300
2295.0,567.13336,661.6667,4.529071,752,1204.5,732.6188,37.00877,11300
2296.0,568.93335,671.26666,9.767266,825,1191.568,719.6805,18.293066,11300
2297.0,569.8393,676.6071,5.4167504,966,1278.362,713.7759,86.99468,10724
2298.0,567.87805,684.95123,8.571508,1077,1249.0,741.36206,40.288063,10724
2299.0,569.2105,674.6053,10.431398,1057,1288.7191,725.2584,42.85948,10724
2300.0,573.7105,671.5263,5.452533,944,1342.0829,713.75146,54.59031,10156
2301.0,581.44183,664.1163,10.708966,814,1119.824,753.57043,225.79764,10156
2302.0,584.07275,650.94543,13.431035,973,1137.1013,779.8581,31.457075,9580
2303.0,593.4828,638.5862,15.53383,527,1158.9778,735.3333,49.608826,9580
2304.0,591.5714,662.8571,24.34608,545,1146.8478,767.3261,34.215145,9580
2305.0,594.5,667.75,5.7023625,620,1149.5435,770.3261,4.033198,9580
2306.0,600.2857,661.0,8.890269,872,1132.1471,724.85297,48.68717,9015
2307.0,603.6,667.2,7.0302587,677,1196.625,689.4375,73.56396,9015
2308.0,607.32,655.08,12.678049,593,1171.321,707.66974,31.188215,8446
2309.0,604.5714,649.7143,6.0287447,554,1217.6418,772.92535,80.024445,8446
2310.0,596.4808,653.7692,9.049911,1046,1170.6992,750.1805,52.162624,8446
2311.0,609.7,646.4,15.13451,554,1276.6012,751.2883,105.90777,7882
